law_group,event_year,mean_change,sem,n_states,ci_upper,ci_lower
Evidence Laws,-15,-0.3997704918032791,0.4521446736073906,26,0.4864330485553065,-1.2059740321618647
Evidence Laws,-14,-0.41053960396039617,0.3978537048157258,28,0.3692536595984764,-1.1903328275192688
Evidence Laws,-13,-0.4987823529411766,0.3978537048157258,28,0.2810049886776,,-1.278589729860153
Evidence Laws,-12,-0.31907169565217397,0.39785370481572583,28,0.4607806380547087,-1.0989240293589566
Evidence Laws,-11,-0.37570064516129037,0.3637765993985727,28,0.33629947965429863,-1.087700604976889
Evidence Laws,-10,-0.21712563636363637,0.37685693434217703,28,0.5214337369880505,-0.9556850097153232
Evidence Laws,-9,-0.18060636363636365,0.34597028186455765,28,0.49749538781837955,-0.8587081150911069
Evidence Laws,-8,-0.34159930434782614,0.3630188034942827,28,0.36991621480,,-1.054113833647826
Evidence Laws,-7,-0.41881402777777784,0.3657021617745025,28,0.2979621094812272,-1.134990264741183
Evidence Laws,-6,-0.40407328767123285,0.34374469067879714,28,0.26966430615720955,-1.077810879979631
Evidence Laws,-5,-0.5423565217391306,0.33698823534069766,28,0.11814141252863702,-1.2028544559069082
Evidence Laws,-4,-0.4540357142857144,0.32461847832455085,28,0.18200538323120583,-1.090077299802629
Evidence Laws,-3,-0.44166315789473693,0.3258286803416543,28,0.1969611234729455,-1.0803074092526193
Evidence Laws,-2,-0.43079785714285716,0.31453768398617046,28,0.18569599347,,-1.0470918077656844
Evidence Laws,-1,-0.25760072463768115,0.3226965773882174,28,0.37507436845835536,-0.8902758177337177
Evidence Laws,0,0.0,0.0,33,0.0,0.0
Evidence Laws,1,-0.15597886178861789,0.3496960395742074,32,0.529425779777248,-0.8413835033545038
Evidence Laws,2,0.2613541353383458,0.38127044988398476,33,1.008644277111156,-0.4859360064344643
Evidence Laws,3,0.27489607843137255,0.3788879834282403,33,1.017516587950643,-0.4677244310879
Evidence Laws,4,0.13049375,0.3590965046773867,32,0.8342829011676779,-0.5732954011676779
Evidence Laws,5,0.10001418604651164,0.3695490009226408,31,0.8243302278689876,-0.6243018557759643
Evidence Laws,6,0.21078660714285714,0.4810665791987882,28,1.1536771223724819,-0.7321039080867676
Evidence Laws,7,0.22602380952380953,0.48825013892899143,28,1.1829940737266327,-0.7309464546790136
Evidence Laws,8,-0.008159777777777778,0.48316698521958015,27,0.9389375212525794,-0.955257076808135
