source_state,recovery_state,year,n
Alabama,Alabama,2023,7503
Alabama,Alaska,2023,3
Alabama,Arizona,2023,23
Alabama,Arkansas,2023,7
Alabama,California,2023,181
Alabama,Colorado,2023,25
Alabama,Connecticut,2023,21
Alabama,Delaware,2023,1
Alabama,District Of Columbia,2023,41
Alabama,Florida,2023,498
Alabama,Georgia,2023,583
Alabama,Guam & Northern Mariana Islands,2023,1
Alabama,Hawaii,2023,1
Alabama,Idaho,2023,3
Alabama,Illinois,2023,198
Alabama,Indiana,2023,45
Alabama,Iowa,2023,11
Alabama,Kansas,2023,17
Alabama,Kentucky,2023,58
Alabama,Louisiana,2023,203
Alabama,Maine,2023,1
Alabama,Maryland,2023,76
Alabama,Massachusetts,2023,35
Alabama,Michigan,2023,90
Alabama,Minnesota,2023,25
Alabama,Mississippi,2023,125
Alabama,Missouri,2023,29
Alabama,Montana,2023,1
Alabama,Nebraska,2023,8
Alabama,Nevada,2023,13
Alabama,New Hampshire,2023,1
Alabama,New Jersey,2023,53
Alabama,New Mexico,2023,8
Alabama,New York,2023,215
Alabama,North Carolina,2023,117
Alabama,North Dakota,2023,2
Alabama,Ohio,2023,68
Alabama,Oklahoma,2023,14
Alabama,Oregon,2023,11
Alabama,Pennsylvania,2023,61
Alabama,Puerto Rico,2023,10
Alabama,Rhode Island,2023,6
Alabama,South Carolina,2023,50
Alabama,South Dakota,2023,4
Alabama,Tennessee,2023,288
Alabama,Texas,2023,269
Alabama,Us Virgin Islands,2023,0
Alabama,Utah,2023,7
Alabama,Vermont,2023,1
Alabama,Virginia,2023,46
Alabama,Washington,2023,17
Alabama,West Virginia,2023,9
Alabama,Wisconsin,2023,20
Alabama,Wyoming,2023,0
Alabama,Alabama,2022,7520
Alabama,Alaska,2022,4
Alabama,Arizona,2022,24
Alabama,Arkansas,2022,20
Alabama,California,2022,163
Alabama,Colorado,2022,22
Alabama,Connecticut,2022,23
Alabama,Delaware,2022,5
Alabama,District Of Columbia,2022,41
Alabama,Florida,2022,560
Alabama,Georgia,2022,575
Alabama,Guam & Northern Mariana Islands,2022,0
Alabama,Hawaii,2022,0
Alabama,Idaho,2022,4
Alabama,Illinois,2022,202
Alabama,Indiana,2022,45
Alabama,Iowa,2022,9
Alabama,Kansas,2022,15
Alabama,Kentucky,2022,30
Alabama,Louisiana,2022,133
Alabama,Maine,2022,0
Alabama,Maryland,2022,98
Alabama,Massachusetts,2022,47
Alabama,Michigan,2022,73
Alabama,Minnesota,2022,17
